chr position COMBINED_rate(cM/Mb) Genetic_Map(cM)
18 11523 5.0511991304 0
18 11543 5.0806478302 0.000101612956604
18 11816 5.1889284633 0.0015181904270849
18 12092 5.4881945265 0.0030329321163989
18 12183 6.6489401538 0.0036379856703947
18 12716 8.391433318 0.0081106196288887
18 12842 8.4068029679 0.0091698768028441
18 13034 0.3577502634 0.0092385648534169
18 51984 0.3279268959 0.0220113174487219
18 57731 0.3006145113 0.023738949045163
18 69805 0.3005631082 0.0273679480135698
18 69836 0.3004415363 0.0273772617011951
18 73090 0.3000465616 0.0283536132126415
18 78172 0.2999224146 0.0298778189236387
18 85149 0.3002151496 0.0319724200223979
18 87505 0.3005245248 0.0326804558028267
18 87588 0.3005718576 0.0327054032670075
18 87933 0.3006068652 0.0328091126355015
18 93276 0.3004897872 0.0344146295685111
18 99186 0.3009776855 0.0361934076898161
18 99779 0.3016600202 0.0363722920817947
18 100779 0.3018205251 0.0366741126068947
18 100825 0.3017530635 0.0366879932478157
18 100949 0.3018673791 0.0367254248028241
18 100977 0.3015955774 0.0367338694789913
18 112535 0.3094748001 0.0403107792185471
18 115574 0.5529779306 0.0419912791496405
18 122474 0.8192201326 0.0476438980645805
18 127159 0.998359578 0.0523212126875105
18 127170 1.1663509744 0.0523340425482289
18 132301 1.1884967113 0.0584322191739092
18 132649 1.17268812 0.0588403146396692
18 132671 1.1685185559 0.058866022047899
18 135649 1.0630499622 0.0620317848353306
18 136305 0.8784632177 0.0626080567061418
18 136630 0.7607891955 0.0628553131946793
18 139767 0.7323264703 0.0651526213320104
18 143973 0.7306237181 0.068225624690339
18 150399 1.3576530888 0.0769499034389678
18 154192 1.056484655 0.0809571497353828
18 159382 0.139875985 0.0816831060975328
18 159885 0.0284978973 0.0816974405398747
18 160887 0.0253714231 0.081722862705821
18 161240 0.0181034447 0.0817292532218
18 161922 0.0163610721 0.0817404114729722
18 162039 0.01426846 0.0817420808827922
18 164285 0.0142678052 0.0817741263732714
18 165098 0.014283069 0.0817857385083684
18 165453 0.0143053776 0.0817908169174164
18 165503 0.0142988329 0.0817915318590614
18 166277 0.0143190337 0.0818026147911452
18 177063 0.0145600759 0.0819596597698026
18 177503 0.0147204981 0.0819661367889666
18 178007 0.0150492522 0.0819737216120754
18 179403 0.0172579139 0.0819978136598798
18 180486 0.1782923803 0.0821909043077447
18 182139 0.1782923803 0.0824856216123806
18 182253 0.3079944277 0.0825207329771384
18 182766 0.2450645602 0.082646451096521
18 183621 0.1442524609 0.0827697869505905
18 184476 0.0937548603 0.082849947356147
18 184704 0.4397519968 0.0829502108114174
18 185110 0.4731844085 0.0831423236812684
18 186998 0.0583575025 0.0832525026459884
18 188570 0.0226757806 0.0832881489730916
18 191751 0.0228351475 0.0833607875772891
18 193162 0.0203729868 0.083389533861664
18 194055 0.0203709968 0.0834077251618063
18 195405 0.0209248224 0.0834359736720463
18 195644 0.0217325949 0.0834411677622274
18 196829 0.022289176 0.0834675804357874
18 199462 0.028382595 0.0835423118084224
18 204232 0.122125387 0.0841248499044124
18 208998 0.1281211231 0.084735475177107
18 209430 0.1303790322 0.0847917989190174
18 209527 0.1325727906 0.0848046584797056
18 210453 0.1349050885 0.0849295805916566
18 212756 0.1351906004 0.0852409245443778
18 213151 0.1351906004 0.0852943248315358
18 213592 0.135132398 0.0853539182190538
18 213606 0.1351099577 0.0853558097584616
18 213827 0.1350802441 0.0853856624924077
18 214951 0.1352816354 0.0855377190505973
18 214959 0.1352944294 0.0855388014060325
18 214991 0.135112607 0.0855431250094565
18 215299 0.1342160448 0.0855844635512549
18 216958 0.1189484349 0.085781799004754
18 217379 0.1071407773 0.0858269052719973
18 217485 0.0969169456 0.0858371784682309
18 217866 0.087573809 0.0858705440894599
18 218242 0.0745522675 0.08589857574204
18 218285 0.0617729342 0.0859012319782105
18 218366 0.0502158341 0.0859052994607726
18 218695 0.0402576296 0.085918544220911
18 220341 0.03917928 0.085983033315791
18 220658 0.0384365625 0.0859952177061035
18 221102 0.0381169505 0.0860121416321255
18 221131 0.0378785363 0.0860132401096782
18 222167 0.0376402623 0.086052235421421
18 223185 0.0375033388 0.0860904138203194
18 223189 0.037224916 0.0860905627199834
18 224184 0.0373447442 0.0861277207404624
18 225051 0.0375272499 0.0861602568661257
18 225608 0.0375272499 0.08618115954432
18 225964 0.0492632971 0.0861986972780876
18 225985 0.0492534666 0.0861997316008862
18 226485 0.3527774301 0.0863761203159362
18 229710 0.3527693272 0.0875138013961562
18 229853 0.1688196622 0.0875379426078508
18 229887 0.0565173177 0.0875398641966526
18 229888 0.0565071175 0.0875399207037701
18 230739 0.0559594359 0.087587542183721
18 232337 0.0556801595 0.087676519078602
18 234473 0.0556865405 0.08779546552911
18 237663 0.0558237431 0.087973543269599
18 237838 0.0558008836 0.087983308424229
18 239289 0.0561134972 0.0880647291086662
18 241347 0.0569336834 0.0881818986291034
18 242494 0.0580654563 0.0882484997074795
18 244125 0.0596917389 0.0883458569336254
18 247834 0.0605069094 0.08857027706059
18 248254 0.0604684063 0.088595673791236
18 248279 0.0613864655 0.0885972084528735
18 249939 0.0622170852 0.0887004888143055
18 250047 0.0635986904 0.0887073574728687
18 250058 0.064540613 0.0887080674196117
18 250539 0.0652119975 0.0887394343904092
18 250589 0.065736682 0.0887427212245092
18 252038 0.0716981338 0.0888466118203854
18 252559 0.0716283852 0.0888839302090746
18 258284 0.2018908181 0.0900397551426971
18 260403 0.2018809241 0.090467540820865
18 260504 0.0764765544 0.0904752649528594
18 261903 0.0675492149 0.0905697663045045
18 263718 0.0641660024 0.0906862275988605
18 264012 0.062750527 0.0907046762537985
18 264431 0.0627666137 0.0907309754649388
18 264954 0.0628145267 0.0907638274624029
18 266457 0.0653636088 0.0908620689664293
18 266848 0.0879966728 0.090896475665494
18 267262 0.7847343356 0.0912213556804325
18 268917 0.4966508144 0.0920433127782645
18 268992 0.2086411675 0.092058960865827
18 272535 0.2705624778 0.0930175637246724
18 273216 0.5522488396 0.09339364518444
18 274753 0.5767981932 0.0942801840073884
18 276848 0.5577586558 0.0954486883912894
18 277763 0.5249604924 0.0959290272418354
18 278796 0.5215777804 0.0964678170889886
18 279300 0.5198232509 0.0967298080074422
18 280039 0.519795623 0.0971139369728392
18 280235 0.5195220008 0.097215763284996
18 280443 0.519667608 0.09732385414746
18 280798 0.5235062701 0.0975096988733455
18 281423 0.5208173071 0.097835209690283
18 282249 0.5256914523 0.0982694308298828
18 282978 0.5356585945 0.0986599259452733
18 284947 0.5359469291 0.0997152054486712
18 285953 0.5484786935 0.100266975014332
18 286176 0.6068083604 0.100402293278701
18 286372 1.1704199739 0.100631695593586
18 286475 2.3673936391 0.100875537138413
18 286679 2.4121364212 0.101367612968338
18 286971 2.419270658 0.102074040000474
18 287080 2.4230359189 0.102338150915634
18 287252 2.4236552869 0.102755019624981
18 287648 2.423678076 0.103714796143077
18 287705 2.4234606417 0.103852933399654
18 288689 2.4208063196 0.106235006818140
18 289153 2.3979806532 0.107347669841225
18 289209 2.3978680651 0.107481950452870
18 289210 2.3980308067 0.107484348483677
18 293384 6.7461908394 0.135642949047333
18 293519 7.4621085462 0.136650333701070
18 294021 8.7409344848 0.141038282812439
18 294495 8.7017278845 0.145162901829692
18 294745 8.6826134099 0.147333555182167
18 295046 8.6368537456 0.149933248159593
18 295191 8.4987368012 0.151165564995767
18 295246 8.3491811488 0.151624769958951
18 296341 0.8114924418 0.152513354182722
18 297712 0.7028046518 0.153476899360340
18 297805 0.6224070548 0.153534783216436
18 298553 0.5836008471 0.153971316650067
18 298620 0.5506400965 0.154008209536532
18 298672 0.5293759947 0.154035737088257
18 302224 0.5299014602 0.155917947074887
18 303389 0.5315202585 0.156537168176040
18 303811 0.5320102575 0.156761676504705
18 304139 0.5326158683 0.156936374509507
18 304180 0.5333149093 0.156958240420789
18 304557 0.5353124806 0.157160053225975
18 306450 0.5474191024 0.158196317586818
18 307022 0.5755070288 0.158525507607292
18 307648 0.6347473795 0.158922859466858
18 307769 0.6347812143 0.158999667993789
18 312577 1.3906792175 0.165686053671529
18 312644 1.6435390502 0.165796170787892
18 315138 3.0670027011 0.173445275524436
18 316558 14.6475090742 0.194244738409800
18 317376 14.6507424422 0.206229045727519
18 317791 14.6522533684 0.212309730875405
18 319176 6.3887147342 0.221158100782272
18 319446 3.4946263636 0.222101649900444
18 322183 3.497845541 0.231675253146161
18 322522 3.5020613755 0.232862451952456
18 327641 3.51039651 0.250832171687146
18 327829 4.0938266187 0.251601811091461
18 330492 4.6419732105 0.263963385751023
18 330655 4.6655820032 0.264723875617544
18 331506 5.7551573525 0.269621514524522
18 331827 6.4489901475 0.271691640361869
18 332469 6.4214730619 0.275814226067609
18 332483 6.3698252264 0.275903403620779
18 332528 6.3339257476 0.276188430279421
18 332961 6.3446505495 0.278935663967354
18 333739 6.3456466356 0.283872577049851
18 333758 6.3459711605 0.283993150501901
18 334742 6.6215332302 0.290508739200417
18 334758 6.9615011535 0.290620123218873
18 334994 7.0270993899 0.29227851867489
18 335099 6.973981126 0.29301078669312
18 335266 6.5850577703 0.29411049134076
18 335316 6.1419659474 0.29441758963813
18 335363 5.6533623038 0.294683297666408
18 337468 5.6533623038 0.306583625315907
18 337502 5.6533623038 0.306775839634237
18 337543 4.3269021417 0.306953242622046
18 337601 3.2254514174 0.307140318804256
18 338113 1.9302094495 0.308128586042400
18 338132 0.8031928474 0.3081438467065
18 338155 0.2367296138 0.308149291487618
18 338297 0.1997082931 0.308177650065238
18 339337 0.9909963077 0.309208286225246
18 339386 3.5242606163 0.309380974995444
18 339519 7.171389995 0.310334769864779
18 339594 8.1954747493 0.310949430470977
18 339727 7.2003146375 0.311907072317764
18 339756 4.8122758359 0.312046628317006
18 339994 1.0891046703 0.312305835228537
