chr position COMBINED_rate(cM/Mb) Genetic_Map(cM)
21 10865933 0.6247366105 0
21 10906723 0.6231151531 0.025416867094949
21 10906915 0.4976528486 0.0255124164418802
21 10906989 0.4965798052 0.025549163347465
21 10907208 0.4953800875 0.0256576515866275
21 10913973 0.442217683 0.0286492542121225
21 10916916 0.4231906694 0.0298947043521667
21 10920018 0.4233025543 0.0312077888756053
21 10920041 0.4234745693 0.0312175287906992
21 10925289 0.4235201568 0.0334401625735856
21 10930954 0.4228200938 0.0358354384049626
21 10932768 0.4105639588 0.0365802014262258
21 10934273 0.4103653968 0.0371978013484098
21 10936230 0.3929208557 0.0379667474630147
21 10939624 0.3926848463 0.0392995198313569
21 10944086 0.3893053967 0.0410366005114323
21 10950631 0.3876889824 0.0435740249012403
21 10953459 0.3869638499 0.0446683586687575
21 10956723 0.311744834 0.0456858938069335
21 10959806 0.2789617388 0.0465459328476539
21 10964139 0.268949081 0.0477112892156269
21 10966825 0.2659230188 0.0484255584441237
21 10967767 0.2641768732 0.0486744130586781
21 10971566 0.2641002218 0.0496777298012963
21 10971951 0.2631826016 0.0497790551029123
21 10972245 0.2630881923 0.0498564030314485
21 10973329 0.2626881764 0.0501411570146661
21 10979098 0.2623317024 0.0516545486058117
21 10989915 0.2629913549 0.054499326091765
21 10994487 0.305147441 0.055894460192017
21 10996929 0.3314033713 0.0567037472247316
21 10997541 0.7566308986 0.0571668053346748
21 11001104 5.2831631741 0.0759907157239931
21 11027304 5.2640688377 0.213909319271733
21 11030426 5.7422905071 0.231836750234899
21 11035767 5.4292631165 0.260834444540126
21 11037138 5.3853817733 0.26821780295132
21 11041034 5.3788558942 0.289173825515123
21 11042513 1.4473912453 0.291314517166922
21 11049019 1.4331783411 0.300638775454119
21 11050160 1.4332934496 0.302274163280112
21 11052182 1.4336862128 0.305173076802394
21 11054925 2.2758994687 0.311415869045038
21 11062900 2.2809245318 0.329606242186143
21 11064109 2.4979907001 0.332626312942564
21 11065122 2.7857338768 0.335448261359762
21 11077856 2.7633359258 0.370636581038899
21 11083847 2.7474343021 0.387096459942780
21 11090599 1.3250999555 0.396043534842316
21 11091243 1.2976316164 0.396879209603278
21 11093362 1.2787131314 0.399588802728715
21 11093820 1.2602329877 0.400165989437081
21 11094222 1.3284769576 0.400700037174036
21 11112900 1.9573597162 0.43725960195322
21 11113436 2.5912066734 0.438648488730162
21 11141997 2.56823537 0.511999859132732
21 11146187 2.5649470259 0.522746987171253
21 11148415 2.5566785802 0.528443267047939
21 11167248 2.5516477727 0.576498449551198
21 11180246 2.5560659659 0.609722194975966
21 11180808 2.5392863547 0.611149273907308
21 11183021 1.705222927 0.614922932244759
21 11183830 1.5681108402 0.61619153391448
21 11183983 1.4331971107 0.616410813072418
21 11184199 1.0144366477 0.616629931388321
21 11185781 0 0.616629931388321
21 14355368 0 0.616629931388321
21 14360890 0 0.616629931388321
21 14363043 1.2236529551 0.619264456200651
21 14377426 1.4718452975 0.640434007114594
21 14380374 1.407928535 0.644584580435774
21 14380671 1.4171676732 0.645005479234714
21 14382505 1.3450652129 0.647472328835173
21 14408582 1.3405295048 0.682429316731842
21 14414872 1.3345045052 0.69082335006955
21 14424153 1.3397513087 0.703257581965595
21 14425542 1.3400342497 0.705118889538428
21 14427021 1.3441553806 0.707106895346336
21 14446016 1.3456696273 0.7326678899169
21 14472259 0 0.7326678899169
21 14482326 0 0.7326678899169
21 14585453 1.2551712766 0.862109938158827
21 14595264 1.1832026919 0.873718339769058
21 14597009 1.122447605 0.875677010839783
21 14600130 1.1222254495 0.879179476467673
21 14607040 0.1393858432 0.880142632644185
21 14613033 0.1394343512 0.880978262710926
21 14613203 0.1396603996 0.881002004978858
21 14613701 0.1394460312 0.881071449102396
21 14613993 0.1397909052 0.881112268046714
21 14627705 0.0406859794 0.881670154196247
21 14630588 0.0206876501 0.881729796691486
21 14630955 0.0062470859 0.88173208937201
21 14633424 0.0042348751 0.881742545278633
21 14636906 0.0041237754 0.881756904264576
21 14638916 0.0041039064 0.88176515311644
21 14640400 0.0041039064 0.881771243313537
21 14646553 0.0043363016 0.881797924577282
21 14647850 0.005646603 0.881805248221373
21 14648157 0.0072501467 0.88180747401641
21 14649798 0.0102834351 0.88182434913341
21 14652908 0.0133880575 0.881865985992234
21 14655551 0.335517981 0.882752760016017
21 14656769 0.0409404974 0.88280262554185
21 14658830 0.0410368562 0.882887202502478
21 14661992 0.2925135508 0.883812130350108
21 14664951 0.3670083658 0.88489810810451
21 14665973 0.1419978671 0.885043229924686
21 14666164 0.0759816547 0.885057742420734
21 14667084 0.0718387143 0.88512383403789
21 14669931 0.0718057776 0.885328265086717
21 14670124 0.0717193228 0.885342106916018
21 14670189 0.0715248722 0.88534675603271
21 14671173 0.0714969717 0.885417109052863
21 14673850 0.0714482156 0.885608375926025
21 14677301 0.0711558973 0.885853934927607
21 14677354 0.0707306726 0.885857683653255
21 14681277 0.069796723 0.886131496197584
21 14685596 0.0779244297 0.886468051809458
21 14686163 0.0777570235 0.886512140041782
21 14686657 0.0775237434 0.886550436771022
21 14687571 0.1793209794 0.886714336146194
21 14688825 0.2667280319 0.887048813098196
21 14691367 0.2650440356 0.887722555036692
21 14692312 0.2692888164 0.88797703296819
21 14693233 0.3995207573 0.888344991585663
21 14693381 0.5511494323 0.888426561701643
21 14712164 0.5557826947 0.898865828056193
21 14714887 0.5191663094 0.90027951791669
21 14715226 0.4818273277 0.90044285738078
21 14717531 0.3620114706 0.901277293820513
21 14722956 0.3968425042 0.903430164405798
21 14725383 0.2352191621 0.904001041312214
21 14735086 0.1674879154 0.90562617655534
21 14735490 0.1512602739 0.905687285705996
21 14736458 0.1055456482 0.905789453893454
21 14739464 0.1054175434 0.906106339028914
21 14742842 0.104898572 0.90646068640513
21 14743317 0.1046665348 0.90651040300916
21 14744908 0.1044582185 0.906676596034794
21 14749399 0.1043652752 0.907145300485717
21 14749867 0.1043864934 0.907194153364628
21 14755245 0.1043953888 0.907755591765595
21 14756361 0.1118058478 0.90788036709174
21 14756676 0.1118058478 0.907915585933796
21 14756973 0.1072417846 0.907947436743823
21 14757043 0.1045493316 0.907954755197035
21 14758904 0.104533758 0.908149292520673
21 14760203 0.1047334346 0.908285341252218
21 14766425 0.1158650809 0.909006253785578
21 14767201 0.1270431199 0.90910483924662
21 14768343 0.1362437308 0.909260429587194
21 14769046 0.137681187 0.909357219461655
21 14769462 0.1408079029 0.909415795549261
21 14771177 0.1449962996 0.909664464203075
21 14771811 0.15938473 0.909765514121895
21 14773232 0.1507900771 0.909979786821454
21 14773516 0.1424157624 0.910020232897976
21 14775729 0.1418057136 0.910334048942173
21 14779379 0.1418008486 0.910851622039563
21 14780336 0.1417724437 0.910987298268184
21 14781932 0.1419682066 0.911213879525917
21 14783598 0.1422496691 0.911450867474638
21 14784285 0.1425441785 0.911548795325267
21 14785618 0.1425249345 0.911738781062956
21 14785799 0.143103134 0.91176468273021
21 14786412 0.1433889208 0.91185258013866
21 14790421 0.143408369 0.912427504289981
21 14790733 0.1433577597 0.912472231911008
21 14793505 0.1433268417 0.9128695339162
21 14795475 0.1433337954 0.913151901493138
21 14796123 0.1434090972 0.913244830588124
21 14796635 0.1436153305 0.91331836163734
21 14798017 0.1437423374 0.913517013547626
21 14798237 0.1438670967 0.9135486643089
21 14800853 0.1449083535 0.913927744561656
21 14801142 0.145997742 0.913969937909094
21 14802750 0.1492866157 0.91420999078714
21 14803128 0.1471292539 0.914265605645114
21 14807136 0.1494674672 0.914864671253652
21 14808893 0.1441837257 0.915118002059707
21 14810042 0.1410824808 0.915280105830146
21 14812555 0.1844064575 0.915743519257843
21 14812990 0.2035769283 0.915832075221654
21 14813373 0.1568262644 0.915892139680919
21 14813649 0.1142071105 0.915923660843417
21 14815904 0.1126837081 0.916177762605183
21 14817786 0.1074657934 0.916380013228361
21 14819708 0.1039041399 0.91657971698525
21 14820408 0.1032057347 0.91665196099954
21 14821002 0.10028353 0.91671152941636
21 14824503 0.0957700564 0.917046820383816
21 14824612 0.0913690997 0.917056779615683
21 14825589 0.0911714596 0.917145854131712
21 14827698 0.0911967257 0.917338188026213
21 14830037 1.5006103897 0.920848115727722
21 14831360 1.5236271135 0.922863874398882
21 14831607 3.1245996952 0.923635650523597
21 14835272 7.3686202378 0.950641643695134
21 14836389 5.7954445987 0.957115155311882
21 14837298 1.5493472474 0.958523511959768
21 14844724 1.1797588296 0.967284401028378
21 14847294 1.1539093755 0.970249948123413
21 14847601 0.7023131069 0.970465558247231
21 14849510 0.7022650127 0.971806182156475
21 14849628 0.3016966731 0.9718417823639
21 14855019 0.3015112418 0.973467229468445
21 14861172 0.3010534712 0.975319611476739
21 14869622 0.304433141 0.977892071518188
21 14870671 0.3114411445 0.978218773278769
21 14876277 0.3561101572 0.980215126820032
21 14880003 0.537946547 0.982219515654154
21 14886672 0.709761868 0.986952917551846
21 14886814 0.7937416353 0.987065628864059
21 14891899 0.3772904272 0.98898415068637
21 14899570 0.3774646727 0.991879682190652
21 14899588 0.3748150617 0.991886428861763
21 14901920 0.3937298361 0.992804606839548
21 14902101 0.3721639446 0.99287196851352
21 14902699 0.3675914577 0.993091788205225
21 14907589 0.3701617335 0.99490187908204
21 14911701 0.3907694208 0.99650872294037
21 14914635 0.835810908 0.998960992144442
21 14914806 0.9384211235 0.99912146215656
